Neighbourhood,Fast Food Restaurant,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Pita Land,4d7d05bccf3f3704b0395c40,43.713196,-79.5802,Fast Food Restaurant
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Burger King,59f71e5d61e53b2614f3a598,43.720245,-79.600272,Burger Joint
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Wendy's,4bc748906501c9b6721b3e29,43.718673,-79.570747,Burger Joint
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Subway,4ca607c097c8a1cdb8336ca5,43.718954,-79.570747,Deli
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Subway,4c2278a67e85c9287d13bc21,43.720363,-79.600198,Deli
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Subway,4ce416f3b8df548126e7b19b,43.719288,-79.59576,Deli
Northwood Park,0.25,1,M3J,43.7679803,-79.4872619,Select Sandwich,4f69e957e4b035664ea9390c,43.764913,-79.483254,Diner
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,Popeye's Louisiana Kitchen,5cbb533873fe25002c27c7b6,43.720717,-79.599975,Fried Chicken Joint
 Old Rexdale,0.25,1,M9W,43.7067483,-79.5940544,McDonald's,4bb12f6af964a52098813ce3,43.717586,-79.5701,Burger Joint
Little Portugal,0.25,1,M6J,43.6479267,-79.4197497,A&W Restaurant,50900478e4b07bfac811aa2c,43.649173,-79.395961,American Restaurant
Malvern,0.3,1,M1B,43.8066863,-79.1943534,BeaverTails,4c546bef1b46c9b689e291ce,43.820683,-79.182547,Dessert Shop
Malvern,0.3,1,M1B,43.8066863,-79.1943534,Wendy's,579a91b3498e9bd833afa78a,43.801984,-79.198172,Burger Joint
