Neighbourhood,Pest Control Service,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Addison Pest Control,590cd35ab0405629414dff7f,43.655858,-79.393567,Home Inspection
St. James Town,0.775,1,M4X,43.667967,-79.3676753,IPM Pest Control Svc,52a4cd6811d2bf98da8a77b6,43.655964,-79.392883,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Greenleaf Pest Control,545a9566498e607c73a235a0,43.649765,-79.376188,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,My Pest Control,59a00c89002f4c45dfe94e79,43.669518,-79.39177,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Toronto Kickboxing & Muay Thai  Academy Inc,527acc4f498ef5a83c817534,43.677599,-79.350726,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Wildlife Shield- Wildlife Removal Toronto,23262a68194b4ff5a4c96598,43.653243,-79.363043,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Bird Barrier Systems,5c275c06622d45c98510d757,43.67407,-79.385526,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,The Exterminators Inc,fa2e54570ce8429b68752cd8,43.660266,-79.353637,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,The Exterminators Inc. Pest Control Toronto,5eeb3b1fd46f4e0008e79e54,43.660266,-79.353637,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Heatsolete,5047b53ac84c402c83c17617,43.65552,-79.364152,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Raccoon Control,ffee32e578b590e1447cb7ab,43.658986,-79.369004,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Quality pest control GTA Scarborough,63cff834469b1d37aa5f767d,43.66418,-79.360851,Home Service
